일자,기관 합계,기타법인,개인,외국인 합계,전체
"2021/10/28","-114543.0","22852.0","340134.0","-248443.0","0.0"
"2021/10/27","-349096.0","19442.0","614175.0","-284522.0","0.0"
"2021/10/26","347380.0","21648.0","-475157.0","106129.0","0.0"
"2021/10/25","258825.0","9367.0","-304624.0","36432.0","0.0"
"2021/10/22","185493.0","-10180.0","-67361.0","-107953.0","0.0"
"2021/10/21","118115.0","-11173.0","-159798.0","52857.0","0.0"
"2021/10/20","-211412.0","-2896.0","283253.0","-68944.0","0.0"
"2021/10/19","183802.0","-1734.0","-327600.0","145533.0","0.0"
"2021/10/18","-488527.0","25166.0","424101.0","39260.0","0.0"
"2021/10/15","213390.0","647.0","-300311.0","86275.0","0.0"
"2021/10/14","503699.0","-3725.0","-115075.0","-384898.0","0.0"
"2021/10/13","772426.0","31858.0","-533217.0","-271067.0","0.0"
"2021/10/12","-199931.0","41181.0","979335.0","-820585.0","0.0"
"2021/10/08","-452737.0","37335.0","461717.0","-46315.0","0.0"
"2021/10/07","614307.0","24402.0","-531658.0","-107052.0","0.0"
"2021/10/06","83440.0","20763.0","171847.0","-276049.0","0.0"
"2021/10/05","236194.0","34014.0","352955.0","-623163.0","0.0"
"2021/10/01","-487272.0","26445.0","760866.0","-300038.0","0.0"
"2021/09/30","-217765.0","35185.0","143547.0","39033.0","0.0"
"2021/09/29","-312573.0","11958.0","960416.0","-659801.0","0.0"
"2021/09/28","-551626.0","-15479.0","561082.0","6023.0","0.0"
"2021/09/27","8308.0","-6086.0","-341576.0","339354.0","0.0"
"2021/09/24","-341856.0","10042.0","248302.0","83512.0","0.0"
"2021/09/23","-236143.0","-24151.0","-310610.0","570903.0","0.0"
"2021/09/17","-302020.0","25837.0","223088.0","53095.0","0.0"
"2021/09/16","-516041.0","30738.0","459279.0","26024.0","0.0"
"2021/09/15","-140596.0","31204.0","-184563.0","293955.0","0.0"
"2021/09/14","763658.0","237556.0","-1295114.0","293900.0","0.0"
"2021/09/13","199606.0","-8578.0","-335512.0","144483.0","0.0"
"2021/09/10","238309.0","-2.0","279090.0","-517397.0","0.0"
"2021/09/09","-931454.0","45993.0","1202750.0","-317290.0","0.0"
"2021/09/08","-183108.0","-20894.0","426944.0","-222943.0","0.0"
"2021/09/07","-120260.0","-2943.0","433689.0","-310486.0","0.0"
"2021/09/06","45722.0","-11466.0","-96558.0","62302.0","0.0"
"2021/09/03","-76609.0","-38394.0","-469475.0","584478.0","0.0"
"2021/09/02","-1490239.0","-488.0","941229.0","549498.0","0.0"
"2021/09/01","-31599.0","59840.0","-103027.0","74786.0","0.0"
"2021/08/31","-134653.0","5161.0","-993842.0","1123334.0","0.0"
"2021/08/30","252642.0","41698.0","-57698.0","-236642.0","0.0"
"2021/08/27","732057.0","-17256.0","-343973.0","-370827.0","0.0"
"2021/08/26","-81422.0","4564.0","440050.0","-363191.0","0.0"
"2021/08/25","344962.0","-481656.0","-26685.0","163379.0","0.0"
"2021/08/24","231466.0","-31849.0","-353211.0","153595.0","0.0"
"2021/08/23","609551.0","-2906.0","-576358.0","-30287.0","0.0"
"2021/08/20","-16262.0","-1171.0","271222.0","-253788.0","0.0"
"2021/08/19","-329684.0","-206225.0","802480.0","-266571.0","0.0"
